CRX,CRY,TimeStamp
600.3727,309.4329,28/04/2016 13:40:40.655
591.8052,337.36,28/04/2016 13:40:40.671
595.2919,320.9293,28/04/2016 13:40:40.688
597.8568,340.2505,28/04/2016 13:40:40.706
590.1418,316.7761,28/04/2016 13:40:40.721
593.9028,308.4513,28/04/2016 13:40:40.738
631.5992,306.6618,28/04/2016 13:40:40.756
678.9443,325.749,28/04/2016 13:40:40.788
683.1774,326.1895,28/04/2016 13:40:40.771
701.3442,346.0886,28/04/2016 13:40:40.805
657.7018,296.7079,28/04/2016 13:40:40.821
695.4529,321.6294,28/04/2016 13:40:40.838
704.4967,339.4504,28/04/2016 13:40:40.855
694.8354,326.6427,28/04/2016 13:40:40.871
698.6014,306.5993,28/04/2016 13:40:40.888
688.1849,311.7083,28/04/2016 13:40:40.912
680.5385,301.2722,28/04/2016 13:40:40.921
684.9061,301.8068,28/04/2016 13:40:40.938
689.6303,328.6368,28/04/2016 13:40:40.956
688.1019,316.0135,28/04/2016 13:40:40.971
632.8889,316.0672,28/04/2016 13:40:40.988
582.0887,362.7827,28/04/2016 13:40:41.004
603.9533,325.3611,28/04/2016 13:40:41.021
594.5107,355.3181,28/04/2016 13:40:41.037
631.4033,261.6562,28/04/2016 13:40:41.054
598.8106,338.084,28/04/2016 13:40:41.088
609.1797,367.9561,28/04/2016 13:40:41.071
620.2867,371.85,28/04/2016 13:40:41.104
590.0051,333.175,28/04/2016 13:40:41.137
627.4189,353.2568,28/04/2016 13:40:41.121
605.6454,363.0276,28/04/2016 13:40:41.154
620.5342,350.2837,28/04/2016 13:40:41.172
598.5713,361.6821,28/04/2016 13:40:41.188
611.3461,369.0868,28/04/2016 13:40:41.204
598.7406,360.0604,28/04/2016 13:40:41.224
612.1196,356.927,28/04/2016 13:40:41.237
602.0591,357.9384,28/04/2016 13:40:41.254
615.5032,344.812,28/04/2016 13:40:41.271
602.2131,341.0185,28/04/2016 13:40:41.287
611.6766,386.8229,28/04/2016 13:40:41.305
635.3107,367.4605,28/04/2016 13:40:41.321
735.5061,370.2444,28/04/2016 13:40:41.337
734.5949,375.5739,28/04/2016 13:40:41.371
745.5133,368.6757,28/04/2016 13:40:41.354
755.7209,381.9192,28/04/2016 13:40:41.387
730.6763,385.9231,28/04/2016 13:40:41.404
751.2236,379.0181,28/04/2016 13:40:41.421
739.4619,435.9487,28/04/2016 13:40:41.441
740.3174,1030.8833,28/04/2016 13:40:41.454
772.7363,901.1162,28/04/2016 13:40:41.521
776.8616,805.8214,28/04/2016 13:40:41.538
804.0054,552.9253,28/04/2016 13:40:41.587
782.2784,627.1572,28/04/2016 13:40:41.604
854.6538,669.7895,28/04/2016 13:40:41.754
913.1667,516.2105,28/04/2016 13:40:41.770
929.6459,433.1099,28/04/2016 13:40:41.787
921.9459,401.9377,28/04/2016 13:40:41.803
906.9722,347.5465,28/04/2016 13:40:41.820
931.2222,365.4004,28/04/2016 13:40:41.837
891.6949,326.7422,28/04/2016 13:40:41.870
931.323,353.0277,28/04/2016 13:40:41.853
968.1505,367.708,28/04/2016 13:40:41.887
980.694,370.472,28/04/2016 13:40:41.903
987.7762,372.163,28/04/2016 13:40:41.920
973.6283,366.0517,28/04/2016 13:40:41.936
968.1567,367.4693,28/04/2016 13:40:41.953
995.1284,377.5278,28/04/2016 13:40:41.970
976.3372,308.7067,28/04/2016 13:40:41.987
940.7776,359.9834,28/04/2016 13:40:42.003
998.6603,369.5805,28/04/2016 13:40:42.020
1004.4564,363.8471,28/04/2016 13:40:42.037
889.7028,383.0465,28/04/2016 13:40:42.053
728.9953,388.7879,28/04/2016 13:40:42.070
631.6017,337.4115,28/04/2016 13:40:42.088
616.0143,379.7794,28/04/2016 13:40:42.103
636.2026,383.7175,28/04/2016 13:40:42.120
648.8905,391.4511,28/04/2016 13:40:42.137
618.7593,397.0457,28/04/2016 13:40:42.154
631.1511,362.5974,28/04/2016 13:40:42.170
619.5167,383.2247,28/04/2016 13:40:42.186
628.4063,398.5957,28/04/2016 13:40:42.203
639.8884,372.8749,28/04/2016 13:40:42.220
631.4159,409.2729,28/04/2016 13:40:42.236
641.0723,388.6985,28/04/2016 13:40:42.256
624.6398,380.9349,28/04/2016 13:40:42.270
651.1658,384.7431,28/04/2016 13:40:42.286
655.2146,385.3159,28/04/2016 13:40:42.303
683.9277,392.5174,28/04/2016 13:40:42.319
701.1931,378.2179,28/04/2016 13:40:42.336
753.8433,406.2003,28/04/2016 13:40:42.353
734.5353,412.4329,28/04/2016 13:40:42.369
741.2517,382.8074,28/04/2016 13:40:42.386
722.9518,370.7662,28/04/2016 13:40:42.403
741.2004,392.8207,28/04/2016 13:40:42.419
754.7532,420.5684,28/04/2016 13:40:42.436
738.1707,410.3646,28/04/2016 13:40:42.453
745.5202,401.3552,28/04/2016 13:40:42.470
731.6903,418.6984,28/04/2016 13:40:42.487
796.9438,388.5651,28/04/2016 13:40:42.503
839.2142,409.513,28/04/2016 13:40:42.519
845.4652,386.2071,28/04/2016 13:40:42.536
843.9236,393.7663,28/04/2016 13:40:42.553
843.803,397.2679,28/04/2016 13:40:42.570
878.1635,403.239,28/04/2016 13:40:42.586
848.1527,389.6386,28/04/2016 13:40:42.602
856.9401,403.5406,28/04/2016 13:40:42.619
843.1544,413.5069,28/04/2016 13:40:42.636
843.5081,416.2988,28/04/2016 13:40:42.653
844.1099,401.3531,28/04/2016 13:40:42.669
863.5951,394.3421,28/04/2016 13:40:42.686
837.199,403.7632,28/04/2016 13:40:42.702
882.4781,395.9259,28/04/2016 13:40:42.719
930.3835,405.0504,28/04/2016 13:40:42.736
933.9274,414.0779,28/04/2016 13:40:42.752
922.4027,376.4199,28/04/2016 13:40:42.769
928.8176,574.3062,28/04/2016 13:40:42.785
811.0863,839.1102,28/04/2016 13:40:42.919
1334.5853,576.9218,28/04/2016 13:40:42.985
1006.2011,432.3212,28/04/2016 13:40:43.002
1383.0054,494.9211,28/04/2016 13:40:43.019
1274.3319,405.1672,28/04/2016 13:40:43.035
1059.8293,353.2766,28/04/2016 13:40:43.052
1043.9374,338.9026,28/04/2016 13:40:43.069
1220.4515,346.9393,28/04/2016 13:40:43.085
970.8899,383.1355,28/04/2016 13:40:43.102
997.1995,402.0557,28/04/2016 13:40:43.119
955.7026,390.7139,28/04/2016 13:40:43.137
1019.8948,405.0207,28/04/2016 13:40:43.152
1037.1473,391.6342,28/04/2016 13:40:43.169
1030.5173,397.3779,28/04/2016 13:40:43.185
1031.2026,412.4054,28/04/2016 13:40:43.219
1041.3434,423.4542,28/04/2016 13:40:43.202
1022.7756,409.9182,28/04/2016 13:40:43.236
918.848,402.7883,28/04/2016 13:40:43.252
714.6769,418.7443,28/04/2016 13:40:43.272
627.9327,434.6834,28/04/2016 13:40:43.286
640.5161,427.6031,28/04/2016 13:40:43.302
607.873,404.0807,28/04/2016 13:40:43.318
632.0741,444.4736,28/04/2016 13:40:43.335
634,430.9281,28/04/2016 13:40:43.352
610.1762,456.148,28/04/2016 13:40:43.368
620.8331,414.0636,28/04/2016 13:40:43.385
632.8594,438.4921,28/04/2016 13:40:43.402
634.611,423.7846,28/04/2016 13:40:43.418
635.3453,426.566,28/04/2016 13:40:43.437
632.7046,420.6016,28/04/2016 13:40:43.452
589.817,439.3643,28/04/2016 13:40:43.468
581.1543,450.8171,28/04/2016 13:40:43.485
587.8052,415.2082,28/04/2016 13:40:43.518
601.7558,438.6161,28/04/2016 13:40:43.502
599.1847,403.5638,28/04/2016 13:40:43.535
584.6869,435.8286,28/04/2016 13:40:43.552
589.0273,453.3013,28/04/2016 13:40:43.568
597.214,422.9,28/04/2016 13:40:43.585
598.3295,435.761,28/04/2016 13:40:43.601
592.7003,435.6457,28/04/2016 13:40:43.618
587.4067,440.6368,28/04/2016 13:40:43.635
578.9868,444.1359,28/04/2016 13:40:43.652
631.3607,411.2667,28/04/2016 13:40:43.668
723.0447,436.0958,28/04/2016 13:40:43.685
789.3741,426.8772,28/04/2016 13:40:43.705
775.7146,430.106,28/04/2016 13:40:43.718
805.2792,409.9631,28/04/2016 13:40:43.735
810.7632,436.098,28/04/2016 13:40:43.768
804.0684,428.5588,28/04/2016 13:40:43.754
776.8931,436.5105,28/04/2016 13:40:43.785
773.8661,429.1695,28/04/2016 13:40:43.802
