CRX,CRY,TimeStamp
669.0914,942.5968,28/04/2016 13:45:28.228
716.1232,921.1672,28/04/2016 13:45:28.245
672.7684,949.0584,28/04/2016 13:45:28.261
706.1406,930.7169,28/04/2016 13:45:28.278
703.18,955.0454,28/04/2016 13:45:28.295
695.4274,930.1307,28/04/2016 13:45:28.328
696.9314,945.6264,28/04/2016 13:45:28.345
709.5737,922.255,28/04/2016 13:45:28.378
693.4503,946.5029,28/04/2016 13:45:28.395
698.2131,949.0195,28/04/2016 13:45:28.411
635.0601,1020.0521,28/04/2016 13:45:28.428
771.4817,966.6696,28/04/2016 13:45:28.578
763.5348,663.2568,28/04/2016 13:45:28.611
795.1208,804.7698,28/04/2016 13:45:28.595
765.6494,580.3295,28/04/2016 13:45:28.628
713.8386,459.5175,28/04/2016 13:45:28.861
751.123,395.4115,28/04/2016 13:45:28.844
733.0078,462.3463,28/04/2016 13:45:28.877
698.4458,458.5689,28/04/2016 13:45:28.894
560.7999,426.659,28/04/2016 13:45:28.911
514.0227,405.5681,28/04/2016 13:45:29.010
500.3577,421.4352,28/04/2016 13:45:29.027
483.7818,415.5267,28/04/2016 13:45:29.044
497.7056,418.3514,28/04/2016 13:45:29.060
521.8649,433.1956,28/04/2016 13:45:29.077
520.6987,439.7974,28/04/2016 13:45:29.094
510.1288,389.8996,28/04/2016 13:45:29.110
323.8546,548.7656,28/04/2016 13:45:29.144
453.3307,410.8858,28/04/2016 13:45:29.127
290.8849,744.1806,28/04/2016 13:45:29.160
-62.6914,766.1416,28/04/2016 13:45:29.177
-103.6205,809.1731,28/04/2016 13:45:29.194
89.0193,-365.5373,28/04/2016 13:45:29.210
-62.8354,792.3037,28/04/2016 13:45:29.227
-134.924,805.8997,28/04/2016 13:45:29.244
-77.0704,755.8797,28/04/2016 13:45:29.260
217.4632,813.7698,28/04/2016 13:45:29.277
-88.2423,784.5314,28/04/2016 13:45:29.294
-125.2589,858.0104,28/04/2016 13:45:29.327
297.7921,782.5468,28/04/2016 13:45:29.360
302.2101,808.3942,28/04/2016 13:45:29.344
302.7702,822.2971,28/04/2016 13:45:29.377
337.6212,786.4797,28/04/2016 13:45:29.393
297.9602,826.5754,28/04/2016 13:45:29.410
328.6404,787.8157,28/04/2016 13:45:29.427
328.5855,839.4964,28/04/2016 13:45:29.443
300.8695,831.9186,28/04/2016 13:45:29.460
290.3795,824.4872,28/04/2016 13:45:29.477
289.1707,862.6777,28/04/2016 13:45:29.494
292.023,797.7999,28/04/2016 13:45:29.510
350.4712,782.3339,28/04/2016 13:45:29.527
305.8054,841.3022,28/04/2016 13:45:29.543
301.7482,817.8942,28/04/2016 13:45:29.560
327.1057,819.3146,28/04/2016 13:45:29.577
361.6709,829.1906,28/04/2016 13:45:29.593
331.6307,805.8634,28/04/2016 13:45:29.626
323.9467,817.8345,28/04/2016 13:45:29.610
285.0954,833.8828,28/04/2016 13:45:29.643
329.3504,838.0453,28/04/2016 13:45:29.660
315.8541,836.9385,28/04/2016 13:45:29.678
235.0226,853.2284,28/04/2016 13:45:29.693
54.9193,763.002,28/04/2016 13:45:29.710
-78.6802,753.928,28/04/2016 13:45:29.727
-29.2007,716.0182,28/04/2016 13:45:29.743
-77.4334,770.2457,28/04/2016 13:45:29.762
-36.5526,684.604,28/04/2016 13:45:29.776
-14.811,694.3419,28/04/2016 13:45:29.793
4.7296,676.7922,28/04/2016 13:45:29.809
-4.3595,671.4202,28/04/2016 13:45:29.826
-43.8243,713.427,28/04/2016 13:45:29.843
-19.3813,691.4005,28/04/2016 13:45:29.859
-23.1183,738.7264,28/04/2016 13:45:29.876
1.7838,730.0729,28/04/2016 13:45:29.893
23.7711,725.6015,28/04/2016 13:45:29.910
-18.0193,714.0924,28/04/2016 13:45:29.926
-13.3857,753.5737,28/04/2016 13:45:29.943
245.9303,620.9109,28/04/2016 13:45:29.960
476.2763,526.9855,28/04/2016 13:45:29.976
756.2387,390.153,28/04/2016 13:45:29.993
818.9001,364.0807,28/04/2016 13:45:30.009
821.3684,379.2807,28/04/2016 13:45:30.026
825.2544,353.143,28/04/2016 13:45:30.043
802.0621,382.2844,28/04/2016 13:45:30.060
831.3949,397.0296,28/04/2016 13:45:30.076
810.8818,366.7969,28/04/2016 13:45:30.093
785.4988,355.425,28/04/2016 13:45:30.109
822.1005,356.0606,28/04/2016 13:45:30.126
796.0461,431.9007,28/04/2016 13:45:30.143
859.5551,979.1127,28/04/2016 13:45:30.159
834.675,1068.2705,28/04/2016 13:45:30.242
792.6382,663.4526,28/04/2016 13:45:30.276
837.7623,530.2002,28/04/2016 13:45:30.292
819.722,401.4548,28/04/2016 13:45:30.342
814.2242,443.7435,28/04/2016 13:45:30.376
826.2972,442.6711,28/04/2016 13:45:30.392
806.3572,407.4464,28/04/2016 13:45:30.409
599.6462,588.3892,28/04/2016 13:45:30.426
416.037,819.6327,28/04/2016 13:45:30.442
414.8422,1020.3462,28/04/2016 13:45:30.892
718.158,753.2316,28/04/2016 13:45:30.908
705.1444,509.0271,28/04/2016 13:45:30.925
759.7384,432.5728,28/04/2016 13:45:30.941
707.5845,473.7158,28/04/2016 13:45:31.025
691.0786,463.1926,28/04/2016 13:45:31.042
741.0602,453.4052,28/04/2016 13:45:31.058
772.5442,367.8795,28/04/2016 13:45:31.075
706.6036,470.6282,28/04/2016 13:45:31.091
777.2055,370.5416,28/04/2016 13:45:31.191
778.3374,386.6855,28/04/2016 13:45:31.208
778.3103,376.8114,28/04/2016 13:45:31.225
807.8444,379.5913,28/04/2016 13:45:31.241
780.4229,385.6055,28/04/2016 13:45:31.258
777.9868,379.6689,28/04/2016 13:45:31.275
759.8719,347.299,28/04/2016 13:45:31.291
800.0811,379.5101,28/04/2016 13:45:31.308
818.3655,389.9902,28/04/2016 13:45:31.341
783.2758,367.5275,28/04/2016 13:45:31.364
767.6813,380.7848,28/04/2016 13:45:31.375
802.3713,398.497,28/04/2016 13:45:31.391
790.0333,372.0576,28/04/2016 13:45:31.408
775.7554,388.7104,28/04/2016 13:45:31.425
598.7759,376.4507,28/04/2016 13:45:31.442
342.7567,395.0449,28/04/2016 13:45:31.458
219.4015,448.8186,28/04/2016 13:45:31.524
234.623,310.1762,28/04/2016 13:45:31.541
207.6615,459.6301,28/04/2016 13:45:31.559
260.7146,438.9679,28/04/2016 13:45:31.574
218.5124,435.0944,28/04/2016 13:45:31.594
199.4147,438.923,28/04/2016 13:45:31.608
223.9228,435.5268,28/04/2016 13:45:31.624
232.1169,433.8908,28/04/2016 13:45:31.641
208.0543,435.6759,28/04/2016 13:45:31.658
200.1547,437.0527,28/04/2016 13:45:31.674
172.8505,363.4498,28/04/2016 13:45:31.691
293.9545,357.616,28/04/2016 13:45:31.708
527.4814,433.878,28/04/2016 13:45:31.724
798.6375,335.5902,28/04/2016 13:45:31.741
1009.6992,288.4521,28/04/2016 13:45:31.757
936.4382,287.6564,28/04/2016 13:45:31.774
862.2701,217.8555,28/04/2016 13:45:31.791
842.3589,269.4269,28/04/2016 13:45:31.807
821.4099,308.1537,28/04/2016 13:45:31.824
915.5256,283.1789,28/04/2016 13:45:31.841
924.886,337.8061,28/04/2016 13:45:31.857
947.6921,429.8635,28/04/2016 13:45:31.874
892.6832,422.1053,28/04/2016 13:45:31.891
878.7236,405.6564,28/04/2016 13:45:31.907
927.0639,419.8107,28/04/2016 13:45:31.924
895.7657,430.5573,28/04/2016 13:45:31.941
898.9974,420.7339,28/04/2016 13:45:31.957
909.2625,426.0097,28/04/2016 13:45:31.974
898.9561,460.8248,28/04/2016 13:45:31.991
862.8029,441.3763,28/04/2016 13:45:32.007
873.5308,475.3519,28/04/2016 13:45:32.025
883.6012,430.3401,28/04/2016 13:45:32.042
863.4436,453.0959,28/04/2016 13:45:32.057
880.0978,467.5913,28/04/2016 13:45:32.074
865.7657,468.2056,28/04/2016 13:45:32.090
877.7667,446.2731,28/04/2016 13:45:32.108
865.163,456.5661,28/04/2016 13:45:32.124
856.6455,457.2483,28/04/2016 13:45:32.140
853.1865,458.54,28/04/2016 13:45:32.157
830.1425,447.9756,28/04/2016 13:45:32.174
830.56,455.2557,28/04/2016 13:45:32.190
841.2064,445.8922,28/04/2016 13:45:32.207
860.4987,445.4511,28/04/2016 13:45:32.224
806.6857,458.4417,28/04/2016 13:45:32.240
836.4412,441.0718,28/04/2016 13:45:32.257
861.2108,489.2839,28/04/2016 13:45:32.274
836.5082,448.0368,28/04/2016 13:45:32.290
847.9024,466.0005,28/04/2016 13:45:32.307
825.8015,458.7947,28/04/2016 13:45:32.323
836.0362,434.7875,28/04/2016 13:45:32.340
790.679,445.052,28/04/2016 13:45:32.357
797.6462,479.5777,28/04/2016 13:45:32.374
829.0723,475.349,28/04/2016 13:45:32.407
793.6313,458.848,28/04/2016 13:45:32.390
807.7344,460.8781,28/04/2016 13:45:32.423
783.0936,469.11,28/04/2016 13:45:32.440
788.5215,467.7179,28/04/2016 13:45:32.457
781.7985,432.7371,28/04/2016 13:45:32.473
792.7336,485.8723,28/04/2016 13:45:32.490
789.9916,467.2252,28/04/2016 13:45:32.509
764.4155,458.0365,28/04/2016 13:45:32.523
768.2579,441.7734,28/04/2016 13:45:32.540
745.8892,457.309,28/04/2016 13:45:32.557
764.462,445.1133,28/04/2016 13:45:32.573
755.5674,470.6154,28/04/2016 13:45:32.590
775.8577,446.6279,28/04/2016 13:45:32.607
758.9498,437.7832,28/04/2016 13:45:32.623
706.9637,442.0902,28/04/2016 13:45:32.640
713.9619,431.5182,28/04/2016 13:45:32.673
747.1779,442.8842,28/04/2016 13:45:32.690
718.2323,416.1883,28/04/2016 13:45:32.706
708.6076,401.4177,28/04/2016 13:45:32.724
735.2327,409.8745,28/04/2016 13:45:32.740
723.9357,446.5184,28/04/2016 13:45:32.756
704.1823,421.5679,28/04/2016 13:45:32.773
733.928,431.4429,28/04/2016 13:45:32.806
729.1937,435.9386,28/04/2016 13:45:32.823
709.1266,415.8865,28/04/2016 13:45:32.840
707.4059,371.6912,28/04/2016 13:45:32.856
729.7322,405.674,28/04/2016 13:45:32.873
675.2822,384.5579,28/04/2016 13:45:32.889
728.3748,418.8006,28/04/2016 13:45:32.906
718.4763,396.9711,28/04/2016 13:45:32.923
729.3835,445.4742,28/04/2016 13:45:32.940
735.4247,408.8265,28/04/2016 13:45:32.956
679.3176,447.6533,28/04/2016 13:45:32.973
864.5153,375.8547,28/04/2016 13:45:32.989
1183.9554,394.2742,28/04/2016 13:45:33.023
956.884,27.9326,28/04/2016 13:45:33.006
1196.71,380.0327,28/04/2016 13:45:33.056
1224.8308,402.5247,28/04/2016 13:45:33.039
1172.9432,475.258,28/04/2016 13:45:33.073
1194.199,536.8738,28/04/2016 13:45:33.089
1160.3442,483.2109,28/04/2016 13:45:33.106
1136.145,302.8601,28/04/2016 13:45:33.123
1159.6111,350.4207,28/04/2016 13:45:33.139
1233.1431,312.2213,28/04/2016 13:45:33.158
1158.9825,510.616,28/04/2016 13:45:33.173
1166.6716,534.4329,28/04/2016 13:45:33.189
1147.6702,539.1181,28/04/2016 13:45:33.206
1124.0852,468.7047,28/04/2016 13:45:33.222
1164.1333,534.4201,28/04/2016 13:45:33.239
1166.4895,512.2432,28/04/2016 13:45:33.256
1168.0217,535.4299,28/04/2016 13:45:33.272
1154.2136,566.406,28/04/2016 13:45:33.289
1143.0759,568.4788,28/04/2016 13:45:33.306
1129.3821,1073.9823,28/04/2016 13:45:33.322
814.3503,903.3979,28/04/2016 13:45:33.472
768.2202,714.5002,28/04/2016 13:45:33.489
773.3219,755.0679,28/04/2016 13:45:33.505
800.4319,653.67,28/04/2016 13:45:33.539
799.3703,727.4557,28/04/2016 13:45:33.522
772.591,644.2742,28/04/2016 13:45:33.555
783.9359,651.8807,28/04/2016 13:45:33.572
789.449,600.5074,28/04/2016 13:45:33.588
776.735,652.0066,28/04/2016 13:45:33.622
790.4982,628.2455,28/04/2016 13:45:33.639
773.1603,642.4603,28/04/2016 13:45:33.655
760.2626,651.7629,28/04/2016 13:45:33.675
801.0988,630.5764,28/04/2016 13:45:33.689
830.3892,620.1744,28/04/2016 13:45:33.705
795.1755,631.502,28/04/2016 13:45:33.722
757.8074,652.0192,28/04/2016 13:45:33.739
868.3892,621.2653,28/04/2016 13:45:33.755
591.7393,344.0271,28/04/2016 13:45:33.774
1024.5237,446.5542,28/04/2016 13:45:33.788
976.0529,358.9641,28/04/2016 13:45:33.822
1029.7467,525.8597,28/04/2016 13:45:33.838
1094.3014,578.7195,28/04/2016 13:45:33.855
1056.105,588.7335,28/04/2016 13:45:33.872
977.7993,582.1376,28/04/2016 13:45:33.889
1021.4346,569.7352,28/04/2016 13:45:33.905
1019.1307,577.1118,28/04/2016 13:45:33.922
931.9828,636.2747,28/04/2016 13:45:33.938
792.2969,679.177,28/04/2016 13:45:33.955
797.5941,699.6062,28/04/2016 13:45:33.972
784.6207,695.321,28/04/2016 13:45:33.988
777.1747,664.3171,28/04/2016 13:45:34.005
799.5432,669.7732,28/04/2016 13:45:34.022
811.6852,677.6462,28/04/2016 13:45:34.038
809.527,667.9905,28/04/2016 13:45:34.055
787.3345,667.2928,28/04/2016 13:45:34.071
786.7426,660.5955,28/04/2016 13:45:34.088
791.8273,666.9314,28/04/2016 13:45:34.105
796.3402,667.5911,28/04/2016 13:45:34.121
794.6126,660.2594,28/04/2016 13:45:34.138
797.3557,653.1326,28/04/2016 13:45:34.155
799.459,680.4904,28/04/2016 13:45:34.171
828.729,656.901,28/04/2016 13:45:34.188
764.7302,666.1761,28/04/2016 13:45:34.205
792.839,636.2191,28/04/2016 13:45:34.221
818.1514,585.413,28/04/2016 13:45:34.238
838.1868,567.8942,28/04/2016 13:45:34.255
827.5666,591.9678,28/04/2016 13:45:34.271
850.6534,550.4213,28/04/2016 13:45:34.288
851.7118,577.9323,28/04/2016 13:45:34.304
836.0443,562.4225,28/04/2016 13:45:34.321
833.9474,566.9093,28/04/2016 13:45:34.338
822.41,574.023,28/04/2016 13:45:34.354
842.8449,565.1797,28/04/2016 13:45:34.371
844.3533,559.7379,28/04/2016 13:45:34.388
841.3175,560.8485,28/04/2016 13:45:34.404
857.0498,565.5339,28/04/2016 13:45:34.421
809.5217,565.939,28/04/2016 13:45:34.438
835.058,537.1023,28/04/2016 13:45:34.454
832.4597,573.4231,28/04/2016 13:45:34.471
849.2711,545.2497,28/04/2016 13:45:34.487
816.3507,555.8596,28/04/2016 13:45:34.504
815.8858,549.8823,28/04/2016 13:45:34.521
850.0909,550.2039,28/04/2016 13:45:34.538
799.4965,548.6452,28/04/2016 13:45:34.571
798.052,538.5599,28/04/2016 13:45:34.554
859.0397,547.1547,28/04/2016 13:45:34.587
828.8422,524.6761,28/04/2016 13:45:34.604
820.5525,548.0054,28/04/2016 13:45:34.621
801.5389,553.3796,28/04/2016 13:45:34.637
815.2589,532.3634,28/04/2016 13:45:34.654
818.8047,547.6694,28/04/2016 13:45:34.671
815.3966,531.9662,28/04/2016 13:45:34.687
809.0438,523.8478,28/04/2016 13:45:34.704
811.6835,521.6593,28/04/2016 13:45:34.721
807.8796,512.7193,28/04/2016 13:45:34.738
814.1864,527.9409,28/04/2016 13:45:34.754
816.0874,529.552,28/04/2016 13:45:34.771
794.2433,504.1664,28/04/2016 13:45:34.787
819.806,544.0745,28/04/2016 13:45:34.820
812.3089,517.1748,28/04/2016 13:45:34.837
791.0237,560.7858,28/04/2016 13:45:34.854
831.9415,526.0765,28/04/2016 13:45:34.870
825.0857,517.3041,28/04/2016 13:45:34.887
806.5958,536.0761,28/04/2016 13:45:34.904
807.9618,512.4008,28/04/2016 13:45:34.922
800.3012,647.6551,28/04/2016 13:45:34.937
763.592,790.434,28/04/2016 13:45:34.954
792.5769,863.0116,28/04/2016 13:45:34.970
767.2017,869.4735,28/04/2016 13:45:34.987
751.1915,886.4897,28/04/2016 13:45:35.004
786.8978,871.4259,28/04/2016 13:45:35.020
781.1887,844.2179,28/04/2016 13:45:35.037
796.5648,849.2439,28/04/2016 13:45:35.054
800.4145,858.0129,28/04/2016 13:45:35.070
780.9637,870.3452,28/04/2016 13:45:35.104
820.9981,838.0504,28/04/2016 13:45:35.120
726.7916,862.0254,28/04/2016 13:45:35.137
758.1769,868.1533,28/04/2016 13:45:35.153
736.3632,860.8022,28/04/2016 13:45:35.170
740.2361,882.5332,28/04/2016 13:45:35.187
728.9442,879.8151,28/04/2016 13:45:35.203
749.3715,861.2922,28/04/2016 13:45:35.220
729.0925,874.0961,28/04/2016 13:45:35.237
738.9019,840.8825,28/04/2016 13:45:35.253
738.2942,869.0438,28/04/2016 13:45:35.270
745.8394,865.9677,28/04/2016 13:45:35.287
737.553,866.6594,28/04/2016 13:45:35.303
717.7985,860.5527,28/04/2016 13:45:35.337
711.1089,867.8229,28/04/2016 13:45:35.320
741.0856,856.7384,28/04/2016 13:45:35.353
750.6736,862.4008,28/04/2016 13:45:35.370
743.044,825.2942,28/04/2016 13:45:35.386
