CSX,CSY,IsFixated,State,TimeStamp, ,Result
696.9454, 488.857,TRUE,7,43:16.0,,Fixation
696.971, 489.6744,TRUE,7,43:16.0,,Fixation
697.4056, 489.2343,TRUE,7,43:16.1,,Fixation
697.7263, 487.9598,TRUE,7,43:16.1,,Fixation
698.1289, 486.2485,TRUE,7,43:16.1,,Fixation
698.3279, 486.2031,TRUE,7,43:16.2,,Fixation
697.3023, 485.0403,TRUE,7,43:16.2,,Fixation
697.3606, 484.4596,TRUE,7,43:16.2,,Fixation
698.127, 483.5021,TRUE,7,43:16.2,,Fixation
698.348, 482.8634,TRUE,7,43:16.3,,Fixation
700.0719, 482.0086,TRUE,7,43:16.4,,Fixation
700.6413, 482.2253,TRUE,7,43:16.4,,Fixation
701.2123, 480.633,TRUE,7,43:16.5,,Fixation
701.3822, 480.4752,TRUE,7,43:16.5,,Fixation
701.573, 480.1263,TRUE,7,43:16.5,,Fixation
702.2802, 479.0683,TRUE,7,43:16.5,,Fixation
703.4514, 477.9334,TRUE,7,43:16.6,,Fixation
709.441, 479.2031,TRUE,7,43:16.6,,Fixation
714.8787, 478.9952,TRUE,7,43:16.6,,Fixation
727.9577, 482.2119,TRUE,7,43:16.7,,Fixation
733.7228, 482.4596,TRUE,7,43:16.7,,Fixation
740.2067, 482.2411,TRUE,7,43:16.7,,Fixation
752.9825, 479.5692,TRUE,7,43:16.8,,Fixation
759.2479, 480.3117,TRUE,7,43:16.8,,Fixation
764.1685, 481.4983,TRUE,7,43:16.8,,Fixation
769.8256, 482.6404,TRUE,7,43:16.8,,Fixation
774.993, 483.2933,TRUE,7,43:16.8,,Fixation
780.1229, 483.1876,TRUE,7,43:16.9,,Fixation
785.3978, 482.5203,TRUE,7,43:16.9,,Fixation
789.6103, 483.2739,TRUE,7,43:16.9,,Fixation
794.0627, 483.6544,TRUE,7,43:16.9,,Fixation
798.0847, 483.6093,TRUE,7,43:17.0,,Fixation
800.7395, 484.4106,TRUE,7,43:17.0,,Fixation
803.4397, 483.7795,TRUE,7,43:17.1,,Fixation
805.8085, 484.4574,TRUE,7,43:17.1,,Fixation
807.0939, 485.0813,TRUE,7,43:17.1,,Fixation
809.0902, 485.7318,TRUE,7,43:17.1,,Fixation
811.9843, 486.5992,TRUE,7,43:17.2,,Fixation
813.7168, 487.5024,TRUE,7,43:17.2,,Fixation
815.7756, 488.135,TRUE,7,43:17.2,,Fixation
816.1454, 487.6319,TRUE,7,43:17.2,,Fixation
817.4763, 487.4122,TRUE,7,43:17.2,,Fixation
817.4863, 488.1177,TRUE,7,43:17.3,,Fixation
959.3795, 498.8543,FALSE,7,43:17.3,,Saccade
971.843, 492.8502,FALSE,7,43:17.3,,Saccade
975.4402, 508.3883,FALSE,7,43:17.3,,Saccade
975.7242, 510.9608,FALSE,7,43:17.4,,Saccade
976.8037, 507.5486,FALSE,7,43:17.3,,Saccade
970.2651, 511.486,TRUE,7,43:17.4,,Fixation
967.1511, 513.2958,TRUE,7,43:17.4,,Fixation
967.2302, 512.9947,TRUE,7,43:17.5,,Fixation
968.2118, 511.9182,TRUE,7,43:17.5,,Fixation
968.0399, 512.3088,TRUE,7,43:17.5,,Fixation
965.5327, 512.3173,TRUE,7,43:17.5,,Fixation
965.5905, 512.7451,TRUE,7,43:17.6,,Fixation
965.16, 513.2289,TRUE,7,43:17.7,,Fixation
965.4174, 512.5903,TRUE,7,43:17.7,,Fixation
965.9716, 513.2416,TRUE,7,43:17.7,,Fixation
779.0193, 439.7859,FALSE,7,43:17.9,,Saccade
772.349, 447.9781,FALSE,7,43:17.8,,Saccade
774.5203, 448.549,FALSE,7,43:17.9,,Saccade
777.9006, 461.0266,FALSE,7,43:18.0,,Fixation
778.5187, 461.0679,FALSE,7,43:18.0,,Fixation
780.0197, 458.6519,FALSE,7,43:18.1,,Fixation
778.7488, 456.506,TRUE,7,43:18.1,,Fixation
776.8865, 454.9227,TRUE,7,43:18.1,,Fixation
777.8405, 452.1538,TRUE,7,43:18.1,,Fixation
776.006, 456.2979,TRUE,7,43:18.2,,Fixation
774.5363, 455.5677,TRUE,7,43:18.2,,Fixation
922.2059, 469.168,FALSE,7,43:18.2,,Saccade
915.5703, 492.4422,FALSE,7,43:18.2,,Saccade
929.3171, 491.677,FALSE,7,43:18.2,,Saccade
921.0501, 496.2478,FALSE,7,43:18.3,,Fixation
923.1727, 492.4246,FALSE,7,43:18.3,,Fixation
921.442, 491.7171,TRUE,7,43:18.3,,Fixation
921.507, 490.7189,TRUE,7,43:18.3,,Fixation
920.4534, 493.3821,TRUE,7,43:18.4,,Fixation
920.975, 492.8216,TRUE,7,43:18.4,,Fixation
920.2118, 491.7618,TRUE,7,43:18.4,,Fixation
918.9415, 491.6601,TRUE,7,43:18.4,,Fixation
918.8555, 489.9286,TRUE,7,43:18.5,,Fixation
918.7109, 490.419,TRUE,7,43:18.5,,Fixation
918.2142, 490.5425,TRUE,7,43:18.5,,Fixation
917.6626, 491.7202,TRUE,7,43:18.5,,Fixation
915.7453, 491.5988,TRUE,7,43:18.6,,Fixation
916.5872, 491.8979,TRUE,7,43:18.6,,Fixation
916.7092, 491.1576,TRUE,7,43:18.6,,Fixation
915.7103, 491.3763,TRUE,7,43:18.6,,Fixation
914.3284, 491.8853,TRUE,7,43:18.7,,Fixation
914.1978, 490.5816,TRUE,7,43:18.7,,Fixation
914.4345, 490.1644,TRUE,7,43:18.7,,Fixation
1333.262, 549.2603,FALSE,7,43:18.8,,Saccade
1323.4595, 535.4968,FALSE,7,43:18.8,,Saccade
1323.8458, 530.5458,FALSE,7,43:18.8,,Saccade
1316.048, 533.6304,FALSE,7,43:18.8,,Saccade
1321.345, 538.3818,FALSE,7,43:18.8,,Saccade
1319.9768, 537.6455,FALSE,7,43:18.9,,Saccade
1323.5166, 537.2399,TRUE,7,43:18.9,,Fixation
1321.9874, 536.0678,TRUE,7,43:18.9,,Fixation
1321.2811, 537.2013,TRUE,7,43:18.9,,Fixation
1322.2622, 538.0638,TRUE,7,43:19.0,,Fixation
1323.2944, 538.3729,TRUE,7,43:19.0,,Fixation
1323.3445, 538.7169,TRUE,7,43:19.0,,Fixation
1323.9639, 539.056,TRUE,7,43:19.0,,Fixation
1324.5197, 538.6495,TRUE,7,43:19.1,,Fixation
1324.9122, 538.538,TRUE,7,43:19.1,,Fixation
1325.6188, 539.8113,TRUE,7,43:19.2,,Fixation
1326.9966, 539.4366,TRUE,7,43:19.2,,Fixation
1327.9639, 539.7148,TRUE,7,43:19.3,,Fixation
1328.2888, 539.7739,TRUE,7,43:19.3,,Fixation
1328.2222, 540.1777,TRUE,7,43:19.3,,Fixation
1329.2804, 538.2128,TRUE,7,43:19.4,,Fixation
1328.6356, 537.7386,TRUE,7,43:19.4,,Fixation
1329.3911, 537.0317,TRUE,7,43:19.4,,Fixation
1329.6289, 537.3097,TRUE,7,43:19.4,,Fixation
1329.327, 538.018,TRUE,7,43:19.4,,Fixation
1329.6312, 537.643,TRUE,7,43:19.5,,Fixation
1329.9249, 538.362,TRUE,7,43:19.5,,Fixation
1331.2671, 538.8921,TRUE,7,43:19.5,,Fixation
1330.9629, 539.3552,TRUE,7,43:19.5,,Fixation
1331.1173, 538.6452,TRUE,7,43:19.6,,Fixation
1330.1489, 539.5368,TRUE,7,43:19.6,,Fixation
1330.7075, 540.1522,TRUE,7,43:19.6,,Fixation
1331.0198, 540.3721,TRUE,7,43:19.6,,Fixation
1331.4248, 540.9893,TRUE,7,43:19.6,,Fixation
1331.6023, 539.9984,TRUE,7,43:19.7,,Fixation
1331.7488, 539.1668,TRUE,7,43:19.7,,Fixation
1330.4421, 539.1257,TRUE,7,43:19.7,,Fixation
1330.1144, 539.64,TRUE,7,43:19.7,,Fixation
1329.9392, 539.0712,TRUE,7,43:19.7,,Fixation
1330.8712, 539.0262,TRUE,7,43:19.7,,Fixation
1330.3866, 539.412,TRUE,7,43:19.8,,Fixation
1330.2981, 538.3706,TRUE,7,43:19.8,,Fixation
