CRX,CRY,IsFixated,State,TimeStamp, ,Result
830.4487, 498.0328,TRUE,7,43:17.2,,Fixation
816.0507, 496.5988,TRUE,7,43:17.2,,Fixation
827.0677, 492.386,TRUE,7,43:17.2,,Fixation
817.1063, 481.1553,TRUE,7,43:17.2,,Fixation
831.793, 480.8843,TRUE,7,43:17.2,,Fixation
816.538, 501.403,TRUE,7,43:17.3,,Fixation
959.3795, 498.8543,FALSE,7,43:17.3,,Fixation
971.843, 492.8502,FALSE,7,43:17.3,,Fixation
979.0282, 523.887,FALSE,7,43:17.3,,Fixation
972.4854, 521.0117,FALSE,7,43:17.4,,Fixation
979.4951, 505.801,FALSE,7,43:17.3,,Fixation
958.748, 520.6168,TRUE,7,43:17.4,,Fixation
956.2944, 523.0042,TRUE,7,43:17.4,,Fixation
966.7589, 505.024,TRUE,7,43:17.5,,Fixation
977.7202, 501.8289,TRUE,7,43:17.5,,Fixation
966.6577, 516.1317,TRUE,7,43:17.5,,Fixation
949.362, 508.3368,TRUE,7,43:17.5,,Fixation
967.3774, 517.7223,TRUE,7,43:17.6,,Fixation
962.8405, 521.3192,TRUE,7,43:17.7,,Fixation
964.2799, 510.4609,TRUE,7,43:17.7,,Fixation
977.8236, 512.9926,TRUE,7,43:17.7,,Fixation
779.0193, 439.7859,FALSE,7,43:17.9,,Saccade
772.349, 447.9781,FALSE,7,43:17.8,,Saccade
770.0328, 457.2898,FALSE,7,43:17.9,,Saccade
784.6411, 485.7788,FALSE,7,43:18.0,,Saccade
780.3226, 460.9584,FALSE,7,43:18.0,,Saccade
785.8633, 448.9424,FALSE,7,43:18.1,,Saccade
772.4501, 445.9695,TRUE,7,43:18.1,,Fixation
766.1081, 445.8397,TRUE,7,43:18.1,,Fixation
784.3571, 433.9412,TRUE,7,43:18.1,,Fixation
765.1274, 471.5159,TRUE,7,43:18.2,,Fixation
761.5492, 448.7278,TRUE,7,43:18.2,,Fixation
922.2059, 469.168,FALSE,7,43:18.2,,Fixation
915.5703, 492.4422,FALSE,7,43:18.2,,Fixation
943.0289, 490.9137,FALSE,7,43:18.2,,Fixation
915.7039, 495.0007,FALSE,7,43:18.3,,Fixation
931.5859, 477.3619,FALSE,7,43:18.3,,Fixation
913.0024, 488.4091,TRUE,7,43:18.3,,Fixation
921.9856, 485.1354,TRUE,7,43:18.3,,Fixation
913.5334, 511.3882,TRUE,7,43:18.4,,Fixation
922.7334, 492.4673,TRUE,7,43:18.4,,Fixation
913.3843, 482.1306,TRUE,7,43:18.4,,Fixation
906.7443, 490.9189,TRUE,7,43:18.4,,Fixation
918.5779, 471.9827,TRUE,7,43:18.5,,Fixation
917.7118, 496.7084,TRUE,7,43:18.5,,Fixation
912.9925, 492.5833,TRUE,7,43:18.5,,Fixation
911.6339, 506.7466,TRUE,7,43:18.5,,Fixation
897.8497, 499.8748,TRUE,7,43:18.6,,Fixation
929.9619, 495.936,TRUE,7,43:18.6,,Fixation
919.5884, 480.399,TRUE,7,43:18.6,,Fixation
902.1464, 494.7425,TRUE,7,43:18.6,,Fixation
904.1507, 492.7855,TRUE,7,43:18.7,,Fixation
914.2681, 470.1703,TRUE,7,43:18.7,,Fixation
920.0933, 484.2825,TRUE,7,43:18.7,,Fixation
1333.262, 549.2603,FALSE,7,43:18.8,,Saccade
1323.4595, 535.4968,FALSE,7,43:18.8,,Saccade
1324.2312, 525.6074,FALSE,7,43:18.8,,Saccade
1300.5493, 539.7855,FALSE,7,43:18.8,,Saccade
1337.1641, 552.4459,FALSE,7,43:18.8,,Saccade
1314.5623, 534.5922,FALSE,7,43:18.9,,Saccade
1340.7527, 535.1444,TRUE,7,43:18.9,,Fixation
1326.6852, 528.441,TRUE,7,43:18.9,,Fixation
1308.1343, 536.8888,TRUE,7,43:18.9,,Fixation
1324.2284, 553.1205,TRUE,7,43:19.0,,Fixation
1331.7465, 540.6887,TRUE,7,43:19.0,,Fixation
1323.4607, 541.539,TRUE,7,43:19.0,,Fixation
1329.719, 542.0179,TRUE,7,43:19.0,,Fixation
1329.8843, 533.9285,TRUE,7,43:19.1,,Fixation
1328.6636, 537.0104,TRUE,7,43:19.1,,Fixation
1319.9888, 542.0175,TRUE,7,43:19.2,,Fixation
1343.8475, 533.9465,TRUE,7,43:19.2,,Fixation
1339.4065, 542.9956,TRUE,7,43:19.3,,Fixation
1330.9172, 540.0562,TRUE,7,43:19.3,,Fixation
1325.4058, 545.391,TRUE,7,43:19.3,,Fixation
1343.0031, 508.9553,TRUE,7,43:19.4,,Fixation
1316.8933, 531.3198,TRUE,7,43:19.4,,Fixation
1339.3303, 527.25,TRUE,7,43:19.4,,Fixation
1331.4479, 542.9651,TRUE,7,43:19.4,,Fixation
1322.8011, 550.1771,TRUE,7,43:19.4,,Fixation
1331.8563, 531.726,TRUE,7,43:19.5,,Fixation
1332.1819, 547.925,TRUE,7,43:19.5,,Fixation
1336.2524, 533.8831,TRUE,7,43:19.5,,Fixation
1340.0979, 555.6091,TRUE,7,43:19.5,,Fixation
1324.0875, 533.5116,TRUE,7,43:19.6,,Fixation
1316.3578, 552.6815,TRUE,7,43:19.6,,Fixation
1314.6357, 551.8512,TRUE,7,43:19.6,,Fixation
1334.9246, 545.6721,TRUE,7,43:19.6,,Fixation
1338.155, 549.4933,TRUE,7,43:19.6,,Fixation
1332.6785, 523.0232,TRUE,7,43:19.7,,Fixation
1333.6306, 525.8615,TRUE,7,43:19.7,,Fixation
1309.5334, 537.379,TRUE,7,43:19.7,,Fixation
1325.5623, 547.4141,TRUE,7,43:19.7,,Fixation
1329.9143, 532.4561,TRUE,7,43:19.7,,Fixation
1344.4087, 538.9355,TRUE,7,43:19.7,,Fixation
1325.8597, 544.4335,TRUE,7,43:19.8,,Fixation
1331.1392, 522.6942,TRUE,7,43:19.8,,Fixation
1321.926, 533.5797,TRUE,7,43:19.9,,Fixation
1335.4146, 525.9445,TRUE,7,43:19.9,,Fixation
1330.6421, 535.0928,TRUE,7,43:19.9,,Fixation
1348.1973, 525.0207,TRUE,7,43:19.9,,Fixation
1332.8765, 532.5463,TRUE,7,43:20.0,,Fixation
1345.5505, 516.249,TRUE,7,43:20.0,,Fixation
1331.8955, 528.1199,TRUE,7,43:20.0,,Fixation
1355.4359, 533.7259,TRUE,7,43:20.1,,Fixation
1327.0308, 553.5635,TRUE,7,43:20.0,,Fixation
1469.5089, 537.3604,FALSE,7,43:20.1,,Fixation
1474.7498, 526.9866,FALSE,7,43:20.1,,Fixation
1468.3215, 524.8361,FALSE,7,43:20.2,,Fixation
1469.688, 518.6649,FALSE,7,43:20.2,,Fixation
1464.6116, 543.6827,FALSE,7,43:20.2,,Fixation
1466.1807, 533.743,FALSE,7,43:20.3,,Fixation
1462.8328, 522.2771,TRUE,7,43:20.3,,Fixation
1454.9194, 550.9949,TRUE,7,43:20.3,,Fixation
1488.0674, 534.0227,TRUE,7,43:20.3,,Fixation
1465.0807, 553.6202,TRUE,7,43:20.4,,Fixation
1437.8864, 541.6091,TRUE,7,43:20.4,,Fixation
1461.0145, 529.8763,TRUE,7,43:20.4,,Fixation
1444.3724, 535.3933,TRUE,7,43:20.5,,Fixation
1461.0145, 529.8763,TRUE,7,43:20.5,,Fixation
1451.8027, 534.5391,TRUE,7,43:20.5,,Fixation
1442.0879, 533.2405,TRUE,7,43:20.5,,Fixation
1473.6082, 556.2043,TRUE,7,43:20.5,,Fixation
1135.8906, 315.8549,FALSE,4,43:20.6,,Saccade
929.2012, 222.5638,FALSE,4,43:20.6,,Saccade
885.9135, 185.1983,FALSE,7,43:20.7,,Saccade
881.8005, 187.0835,FALSE,7,43:20.7,,Saccade
888.5676, 211.8641,FALSE,7,43:20.8,,Saccade
888.0354, 160.5074,FALSE,7,43:20.8,,Saccade
903.5869, 170.5567,FALSE,7,43:20.8,,Saccade
404.9921, 159.0337,FALSE,7,43:20.9,,Saccade
173.1197, 186.4265,FALSE,7,43:20.9,,Fixation
100.2444, 220.0386,FALSE,7,43:21.0,,Fixation
90.6833, 232.8806,FALSE,7,43:21.0,,Fixation
86.6206, 247.2716,FALSE,7,43:21.0,,Fixation
91.8368, 241.4922,FALSE,7,43:21.0,,Fixation
79.1146, 202.0876,FALSE,7,43:21.0,,Fixation
81.2685, 217.8356,FALSE,7,43:21.1,,Fixation
97.8343, 233.8052,FALSE,7,43:21.1,,Fixation
98.613, 211.362,TRUE,7,43:21.1,,Fixation
96.3458, 230.331,TRUE,7,43:21.1,,Fixation
110.0381, 233.9038,TRUE,7,43:21.1,,Fixation
91.306, 243.009,TRUE,7,43:21.2,,Fixation
108.2778, 229.2441,TRUE,7,43:21.2,,Fixation
89.9211, 225.8321,TRUE,7,43:21.2,,Fixation
118.5318, 249.2575,TRUE,7,43:21.3,,Fixation
61.0969, 464.2921,FALSE,7,43:21.3,,Saccade
134.053, 692.0332,FALSE,7,43:21.3,,Saccade
360.3306, 814.2,FALSE,7,43:21.3,,Saccade
351.5365, 828.9623,FALSE,7,43:21.4,,Saccade
363.6199, 815.436,FALSE,7,43:21.4,,Saccade
370.1171, 828.9023,FALSE,7,43:21.6,,Saccade
625.1565, 776.4067,FALSE,4,43:21.6,,Saccade
841.5735, 674.5063,FALSE,4,43:21.6,,Saccade
821.1663, 673.5673,FALSE,7,43:21.7,,Saccade
830.4408, 648.4132,FALSE,7,43:21.6,,Saccade
817.8782, 705.7622,FALSE,7,43:21.7,,Saccade
825.1687, 666.4362,FALSE,7,43:21.7,,Saccade
821.7261, 679.6563,FALSE,7,43:21.8,,Saccade
802.2152, 690.3861,FALSE,7,43:21.8,,Saccade
826.3855, 702.8336,FALSE,7,43:21.8,,Saccade
826.8183, 702.8324,TRUE,7,43:21.8,,Fixation
877.6575, 583.0354,TRUE,7,43:21.9,,Fixation
896.1122, 598.0806,TRUE,7,43:21.9,,Fixation
854.3212, 593.3829,TRUE,7,43:22.0,,Fixation
865.838, 597.5891,TRUE,7,43:21.9,,Fixation
870.4858, 601.4733,TRUE,7,43:22.0,,Fixation
872.686, 596.519,TRUE,7,43:22.0,,Fixation
879.0093, 603.8378,TRUE,7,43:22.1,,Fixation
866.2753, 587.851,TRUE,7,43:22.1,,Fixation
882.069, 594.5472,TRUE,7,43:22.1,,Fixation
875.788, 590.2223,TRUE,7,43:22.1,,Fixation
871.0625, 597.7205,TRUE,7,43:22.1,,Fixation
872.1783, 582.8221,TRUE,7,43:22.2,,Fixation
881.6371, 572.725,TRUE,7,43:22.2,,Fixation
901.1025, 550.2968,TRUE,7,43:22.2,,Fixation
893.64, 500.3286,TRUE,7,43:22.2,,Fixation
893.9807, 504.8827,TRUE,7,43:22.3,,Fixation
876.9193, 510.0282,TRUE,7,43:22.3,,Fixation
888.2139, 488.487,TRUE,7,43:22.3,,Fixation
891.9794, 501.2027,TRUE,7,43:22.4,,Fixation
908.4357, 497.8923,TRUE,7,43:22.4,,Fixation
893.1602, 488.0679,TRUE,7,43:22.4,,Fixation
878.6315, 526.8274,TRUE,7,43:22.4,,Fixation
881.0537, 498.3768,FALSE,7,43:22.4,,Saccade
