HOX,HOY,HOZ,LRX,LRY,LSX,LSY,RRX,RRY,RSX,RSY,CRX,CRY,CSX,CSY,IsFixated,State,TimeStamp,,Result
{0,0, 0},{0, 0},{0, 0},{766.4848, 93.8286},{783.2177, 87.4139},{766.4848, 93.8286},{779.2842, 85.4421},TRUE,4,43:11.5,,
{0,0, 0},{0, 0},{0, 0},{775.0115, 105.0119},{782.1922, 89.5541},{775.0115, 105.0119},{778.7593, 87.5898},TRUE,4,43:11.5,,
{0,0, 0},{0, 0},{0, 0},{759.1611, 57.0695},{779.6496, 86.1686},{759.1611, 57.0695},{776.7491, 84.6514},TRUE,4,43:11.5,,
{0,0, 0},{867.6384, 112.174},{290.4424, 37.5503},{0, 0},{0, 0},{867.6384, 112.174},{785.0369, 87.2027},TRUE,4,43:11.5,,
{0,0, 0},{0, 0},{218.2887, 28.2218},{777.8888, 59.5351},{777.8888, 59.5351},{777.8888, 59.5351},{784.5247, 84.8711},TRUE,4,43:11.6,,
{0,0, 0},{755.3888, 106.1024},{327.7863, 44.0924},{780.7837, 85.5256},{779.3381, 72.5469},{768.0862, 95.814},{783.2601, 85.7703},TRUE,7,43:11.6,,
{0,0, 0},{776.4225, 82.8036},{776.4225, 82.8036},{768.9194, 95.9692},{775.8529, 80.4096},{772.6709, 89.3864},{782.4739, 86.0776},TRUE,7,43:11.6,,
{0,0, 0},{744.1248, 88.6829},{744.1248, 88.6829},{782.2935, 106.0044},{777.4659, 86.9117},{763.2091, 97.3437},{781.0448, 86.952},TRUE,7,43:11.6,,
{0,0, 0},{739.9899, 67.7587},{742.0547, 78.2075},{782.5761, 120.4252},{778.5045, 93.7928},{761.283, 94.0919},{779.5867, 87.5212},TRUE,7,43:11.6,,
{0,0, 0},{766.6153, 75.0202},{750.2729, 77.1228},{775.584, 27.4896},{775.584, 27.4896},{771.0996, 51.2549},{778.9158, 85.0593},TRUE,7,43:11.8,,
{0,0, 0},{756.5469, 100.2133},{751.8841, 82.9297},{788.3474, 98.6589},{788.3474, 98.6589},{772.4471, 99.4361},{778.3821, 86.004},TRUE,7,43:11.9,,
