CRX,CRY,TimeStamp, 
1328.6636,537.0104,43:19.1,
1319.9888,542.0175,43:19.2,
1343.8475,533.9465,43:19.2,
1339.4065,542.9956,43:19.3,
1330.9172,540.0562,43:19.3,
1325.4058,545.391,43:19.3,
1343.0031,508.9553,43:19.4,
1316.8933,531.3198,43:19.4,
1339.3303,527.25,43:19.4,
1331.4479,542.9651,43:19.4,
1322.8011,550.1771,43:19.4,
1331.8563,531.726,43:19.5,
1332.1819,547.925,43:19.5,
1336.2524,533.8831,43:19.5,
1340.0979,555.6091,43:19.5,
1324.0875,533.5116,43:19.6,
1316.3578,552.6815,43:19.6,
1314.6357,551.8512,43:19.6,
1334.9246,545.6721,43:19.6,
1338.155,549.4933,43:19.6,
1332.6785,523.0232,43:19.7,
1333.6306,525.8615,43:19.7,
1309.5334,537.379,43:19.7,
1325.5623,547.4141,43:19.7,
1329.9143,532.4561,43:19.7,
1344.4087,538.9355,43:19.7,
1325.8597,544.4335,43:19.8,
1331.1392,522.6942,43:19.8,
1321.926,533.5797,43:19.9,
1335.4146,525.9445,43:19.9,
1330.6421,535.0928,43:19.9,
1348.1973,525.0207,43:19.9,
1332.8765,532.5463,43:20.0,
1345.5505,516.249,43:20.0,
1331.8955,528.1199,43:20.0,
1355.4359,533.7259,43:20.1,
1327.0308,553.5635,43:20.0,
1469.5089,537.3604,43:20.1,
1474.7498,526.9866,43:20.1,
1468.3215,524.8361,43:20.2,
1469.688,518.6649,43:20.2,
1464.6116,543.6827,43:20.2,
1466.1807,533.743,43:20.3,
1462.8328,522.2771,43:20.3,
1454.9194,550.9949,43:20.3,
1488.0674,534.0227,43:20.3,
1465.0807,553.6202,43:20.4,
1437.8864,541.6091,43:20.4,
1461.0145,529.8763,43:20.4,
1444.3724,535.3933,43:20.5,
1461.0145,529.8763,43:20.5,
1451.8027,534.5391,43:20.5,
1442.0879,533.2405,43:20.5,
1473.6082,556.2043,43:20.5,
1135.8906,315.8549,43:20.6,
929.2012,222.5638,43:20.6,
885.9135,185.1983,43:20.7,
881.8005,187.0835,43:20.7,
888.5676,211.8641,43:20.8,
888.0354,160.5074,43:20.8,
903.5869,170.5567,43:20.8,
404.9921,159.0337,43:20.9,
173.1197,186.4265,43:20.9,
100.2444,220.0386,43:21.0,
90.6833,232.8806,43:21.0,
86.6206,247.2716,43:21.0,
91.8368,241.4922,43:21.0,
79.1146,202.0876,43:21.0,
81.2685,217.8356,43:21.1,
97.8343,233.8052,43:21.1,
98.613,211.362,43:21.1,
96.3458,230.331,43:21.1,
110.0381,233.9038,43:21.1,
91.306,243.009,43:21.2,
108.2778,229.2441,43:21.2,
89.9211,225.8321,43:21.2,
118.5318,249.2575,43:21.3,
61.0969,464.2921,43:21.3,
134.053,692.0332,43:21.3,
360.3306,814.2,43:21.3,
351.5365,828.9623,43:21.4,
363.6199,815.436,43:21.4,
370.1171,828.9023,43:21.6,
625.1565,776.4067,43:21.6,
841.5735,674.5063,43:21.6,
821.1663,673.5673,43:21.7,
830.4408,648.4132,43:21.6,
817.8782,705.7622,43:21.7,
825.1687,666.4362,43:21.7,
821.7261,679.6563,43:21.8,
802.2152,690.3861,43:21.8,
826.3855,702.8336,43:21.8,
826.8183,702.8324,43:21.8,
877.6575,583.0354,43:21.9,
896.1122,598.0806,43:21.9,
854.3212,593.3829,43:22.0,
865.838,597.5891,43:21.9,
870.4858,601.4733,43:22.0,
872.686,596.519,43:22.0,
879.0093,603.8378,43:22.1,
866.2753,587.851,43:22.1,
882.069,594.5472,43:22.1,
875.788,590.2223,43:22.1,
871.0625,597.7205,43:22.1,
872.1783,582.8221,43:22.2,
881.6371,572.725,43:22.2,
901.1025,550.2968,43:22.2,
893.64,500.3286,43:22.2,
893.9807,504.8827,43:22.3,
876.9193,510.0282,43:22.3,
888.2139,488.487,43:22.3,
891.9794,501.2027,43:22.4,
908.4357,497.8923,43:22.4,
893.1602,488.0679,43:22.4,
878.6315,526.8274,43:22.4,
881.0537,498.3768,43:22.4,
898.3781,504.4722,43:22.5,
888.7683,505.5364,43:22.5,
879.5005,490.1983,43:22.5,
905.4572,499.6766,43:22.5,
876.9653,493.8789,43:22.5,
907.1403,508.4274,43:22.5,
911.4302,497.3044,43:22.6,
1008.1495,445.6649,43:22.6,
1012.1802,422.5911,43:22.6,
1037.3104,415.1083,43:22.6,
1027.356,414.2354,43:22.7,
1022.2802,434.6734,43:22.7,
1003.6833,438.5139,43:22.7,
1022.7385,412.6456,43:22.7,
1019.599,411.442,43:22.8,
1023.9113,409.3428,43:22.8,
1039.6967,402.2034,43:22.9,
1035.9791,408.694,43:22.9,
1026.27,420.9216,43:22.9,
1035.5701,414.5922,43:22.9,
920.5202,508.3509,43:23.0,
1021.6907,398.3555,43:23.0,
863.9648,604.5169,43:23.0,
786.1575,691.8613,43:23.0,
778.6293,705.8336,43:23.1,
771.3145,708.4229,43:23.1,
773.9607,703.5671,43:23.1,
778.3497,691.4738,43:23.1,
786.11,683.9138,43:23.1,
763.4575,703.1908,43:23.2,
775.1622,717.8365,43:23.2,
772.6544,697.1272,43:23.2,
786.6049,718.3808,43:23.2,
776.6689,711.0393,43:23.2,
787.7994,696.6414,43:23.3,
786.2367,688.7308,43:23.3,
782.4104,700.4574,43:23.3,
761.5573,714.0211,43:23.3,
779.9645,719.4916,43:23.3,
775.7368,718.166,43:23.4,
800.1804,659.8087,43:23.4,
780.1737,701.132,43:23.4,
776.9255,698.9053,43:23.5,
767.8531,708.5446,43:23.5,
760.2581,718.1581,43:23.5,
795.805,702.0313,43:23.6,
