Name,Time,Count,POSX,POSY,POSZ,ROTX,ROTY,ROTZ,ROTW
bookCoversA (2),0,0,-2.124,1.816,3.458,0.7071068,-2.304046E-07,-2.304047E-07,-0.7071067
bookC (4),0,0,0.725,0.05,3.527,0,1,0,-1.629207E-07
paintingLandscapeA,5.73999,4,-2.337,0.015,3.04,0.2588191,0,0,0.9659258
bookC (95),0,0,-2.25,0.048,3.535,0,1,0,-1.629207E-07
bookC (69),0,0,-3.681,0.048,3.535,0,1,0,-1.629207E-07
bookC (25),0,0,-0.02200005,0.05,3.527,0,1,0,-1.629207E-07
bookC (40),0,0,0.979,1.1432,3.533,-0.7071068,0.7071067,1.152023E-07,-1.152023E-07
paper (3),0.5800171,1,1.708,0.73,1.96,0,0.860833,0,0.5088876
bookC (31),0,0,0.226,0.05,3.527,0,1,0,-1.629207E-07
bookCoversA,0,0,2.801,1.8139,3.433,0.7071068,-2.304046E-07,-2.304047E-07,-0.7071067
bookC (67),0,0,-3.631,0.048,3.545,0,1,0,-1.629207E-07
book D,0,0,-0.729,0.682,3.532,0,1,0,-1.629207E-07
Lamps,0,0,0,0,0,0,0,0,1
book D (19),0,0,-2.125,1.534501,3.512,-0.7056682,0.7056681,0.04488655,-0.04527967
bookC (58),0,0,-2.458451,1.129,3.572607,-0.7067603,0.7067602,0.02213634,-0.02213633
plateDinner (13),0,0,2.79,0.8492,3.65,0,1,0,-1.629207E-07
bookC (43),0,0,0.6467,1.035799,3.5232,0.1736482,0.9848078,-2.829089E-08,-1.604456E-07
book D,0,0,-0.4320001,0.682,3.527,0,1,0,-1.629207E-07
book D,0,0,-0.776,0.682,3.527,0,1,0,-1.629207E-07
bookC (77),0,0,-2.69,0.048,3.545,0,1,0,-1.629207E-07
bookC (66),0,0,-3.481,0.048,3.535,0,1,0,-1.629207E-07
bookC (47),0,0,-3.381,1.363,3.525,0,1,0,-1.629207E-07
book D,0,0,-0.8240001,0.682,3.532,0,1,0,-1.629207E-07
