Head Orientation,,,Left Raw,,Left Smoothed,,Right Raw,,Right Smoothed,,Combined Raw,,Combined Smoothed,,Is Fixated,State,TimeStamp
{0, 0, 0},{0, 0},{0, 0},{0, 0},{0, 0},{0, 0},{0, 0},False,16,2016-02-23 16:33:12.018
{0, 0, 0},{0, 0},{0, 0},{0, 0},{0, 0},{0, 0},{0, 0},False,16,2016-02-23 16:33:12.054
{0, 0, 0},{0, 0},{0, 0},{0, 0},{0, 0},{0, 0},{0, 0},False,16,2016-02-23 16:33:12.082
{0, 0, 0},{0, 0},{0, 0},{0, 0},{0, 0},{0, 0},{0, 0},False,16,2016-02-23 16:33:12.087
{0, 0, 0},{0, 0},{0, 0},{0, 0},{0, 0},{0, 0},{0, 0},False,16,2016-02-23 16:33:12.137
{0, 0, 0},{0, 0},{0, 0},{0, 0},{0, 0},{0, 0},{0, 0},False,16,2016-02-23 16:33:12.318
{0, 0, 0},{0, 0},{0, 0},{0, 0},{0, 0},{0, 0},{0, 0},False,16,2016-02-23 16:33:12.368
{0, 0, 0},{0, 0},{0, 0},{0, 0},{0, 0},{0, 0},{0, 0},False,16,2016-02-23 16:33:12.567
{0, 0, 0},{0, 0},{0, 0},{0, 0},{0, 0},{0, 0},{0, 0},False,16,2016-02-23 16:33:12.607
{0, 0, 0},{0, 0},{0, 0},{0, 0},{0, 0},{0, 0},{0, 0},False,16,2016-02-23 16:33:12.651
{0, 0, 0},{0, 0},{0, 0},{0, 0},{0, 0},{0, 0},{0, 0},False,16,2016-02-23 16:33:12.687
{0, 0, 0},{0, 0},{0, 0},{0, 0},{0, 0},{0, 0},{0, 0},False,16,2016-02-23 16:33:12.734
{0, 0, 0},{0, 0},{0, 0},{0, 0},{0, 0},{0, 0},{0, 0},False,16,2016-02-23 16:33:12.801
{0, 0, 0},{0, 0},{0, 0},{0, 0},{0, 0},{0, 0},{0, 0},False,16,2016-02-23 16:33:12.851
